127.0.0.1 - - [24/Apr/2024:21:11:13 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/ HTTP/1.1" 200 23786
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/freelancer.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/play.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/organizational-agility.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/website.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/code-simple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/easter-egg-hunt.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/task.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/black-user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/email.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/mobile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/lock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/confirm.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/Google.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/Facebook.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/Linkedin.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/Instagram.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/success.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/pin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/phone.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/email%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/instagram.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /TechCraft/media/techback.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:48 +0530] "POST /TechCraft/StudentLogin HTTP/1.1" 200 13333
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:11:56 +0530] "GET /TechCraft/Roadmap.jsp?submitButton=Angular HTTP/1.1" 200 77803
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:16:45 +0530] "GET /TechCraft/Roadmap.jsp?submitButton=Angular HTTP/1.1" 200 78429
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:18:59 +0530] "GET /TechCraft/Roadmap.jsp?submitButton=Angular HTTP/1.1" 200 78427
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:01 +0530] "GET /TechCraft/studentHome.jsp HTTP/1.1" 200 13956
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/videoLecture.jsp HTTP/1.1" 200 19966
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/java.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/spring-boot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/hibernate.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/python.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/django.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/flask.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/nodejs.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/expressjs.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/kotlin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/cpp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/dsa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/html-css-js.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/jquery.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/bootstrap.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/react.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/vue.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/typeScript.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/angular.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/flutter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/reactNative.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/ux.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/mysql.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/Postgresql.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/mongodb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/oracle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/mssql.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/devops.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/sqlite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/android.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/docker.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/kubernetes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/aws.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:19:06 +0530] "GET /TechCraft/media/prompt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:49:56 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:49:56 +0530] "GET /TechCraft/index.jsp HTTP/1.1" 200 23786
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:49:56 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:49:56 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:50:03 +0530] "POST /TechCraft/StudentLogin HTTP/1.1" 200 13956
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:50:06 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12298
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:50:06 +0530] "GET /TechCraft/media/student.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:51:11 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12294
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:52:58 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12398
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:53:13 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12398
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:53:32 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12398
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:53:48 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12398
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:54:28 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12402
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:54:57 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12402
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:55:06 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12402
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:55:16 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12402
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:55:40 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12402
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:55:56 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12402
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:56:45 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12425
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:56:57 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12425
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:57:23 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12443
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:57:51 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12382
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:58:17 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12382
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:58:59 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12371
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:59:13 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12398
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:59:35 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12397
0:0:0:0:0:0:0:1 - - [24/Apr/2024:21:59:54 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12382
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:22:30 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 11794
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:22:34 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 11794
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:23:54 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12469
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:24:07 +0530] "GET /TechCraft/StudentLogout? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:24:07 +0530] "GET /TechCraft/index.jsp HTTP/1.1" 200 23786
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:24:07 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:24:07 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:24:25 +0530] "POST /TechCraft/StudentLogin HTTP/1.1" 200 13952
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:24:34 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12463
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:26:32 +0530] "GET /TechCraft/StudentLogout? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:26:32 +0530] "GET /TechCraft/index.jsp HTTP/1.1" 200 23786
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:26:32 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:26:32 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:26:53 +0530] "POST /TechCraft/StudentLogin HTTP/1.1" 200 13955
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:27:00 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12463
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:30:09 +0530] "GET /TechCraft/studentProfile.jsp HTTP/1.1" 200 12484
0:0:0:0:0:0:0:1 - - [24/Apr/2024:22:32:50 +0530] "GET /TechCraft/codingInhancement.jsp HTTP/1.1" 200 11664
